date,market,segment,source,campaign,impressions,clicks,page_visits,leads,registrations,opportunities,orders,spend,target_cpl
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_02052023,3625525,11677.0,0.0,875.0,875.0,0.0,0.0,299962.82,1200.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_09052023,1058369,3200.0,0.0,263.0,263.0,0.0,0.0,80414.78,1400.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_25042023,163781,339.0,0.0,20.0,20.0,0.0,0.0,8727.59,600.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_25052023,230725,1736.0,0.0,86.0,86.0,0.0,0.0,27024.98,3000.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_28052023,54614,139.0,0.0,19.0,19.0,0.0,0.0,3557.78,1200.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_AudienceTest_06052023,227885,608.0,0.0,71.0,71.0,0.0,0.0,14990.799999999997,1200.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_AudienceTest_25042023,103318,433.0,0.0,46.0,46.0,0.0,0.0,10483.33,1200.0
2023-05-01,All Markets,Paid Social,Facebook,AM_LG_CreativeTest_13052023,209076,1331.0,0.0,94.0,94.0,0.0,0.0,21430.89,800.0
2023-05-01,All Markets,Search,Google,AM_BrandSearch_15112023,34415,4375.0,0.0,426.0,426.0,0.0,0.0,82719.05,1500.0
2023-05-01,All Markets,Search,Google,Search-Product_Generic-All_Market-29_March,10877,238.0,0.0,13.0,13.0,0.0,0.0,4951.74,750.0
2023-05-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_04052023,468186,1790.0,0.0,270.0,270.0,0.0,0.0,35658.89,1800.0
2023-05-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_23052023,107863,801.0,0.0,48.0,48.0,0.0,0.0,7760.9400000000005,1200.0
2023-05-01,Delhi,Paid Social,Facebook,DL_BA_27042023,424204,1464.0,0.0,0.0,0.0,0.0,0.0,13510.69,800.0
2023-05-01,Delhi,Paid Social,Facebook,DL_LG_02052023,189952,1036.0,0.0,238.0,238.0,0.0,0.0,15931.939999999999,1800.0
2023-05-01,Delhi,Paid Social,Facebook,DL_LG_03052023,315201,1504.0,0.0,310.0,310.0,0.0,0.0,23508.39,3000.0
2023-05-01,Gujarat,Paid Social,Facebook,GJ_LG_19052023,43139,247.0,0.0,16.0,16.0,0.0,0.0,3738.94,1200.0
2023-05-01,Gujarat,Paid Social,Facebook,GJ_LG_24052023,216129,919.0,0.0,146.0,146.0,0.0,0.0,10586.13,1200.0
2023-05-01,Gujarat,Paid Social,Facebook,GJ_LG_31012023,2115228,6989.0,0.0,807.0,807.0,0.0,0.0,82321.25,1200.0
2023-05-01,Karnataka,Paid Social,Facebook,KA_LG_100320233,1323514,3761.0,0.0,281.0,281.0,0.0,0.0,93187.47,1800.0
2023-05-01,Karnataka,Paid Social,Facebook,KA_LG_12052023,63861,265.0,0.0,3.0,3.0,0.0,0.0,5722.98,1200.0
2023-05-01,Karnataka,Paid Social,Facebook,KA_LG_19052023,58293,389.0,0.0,10.0,10.0,0.0,0.0,3962.99,1200.0
2023-05-01,Karnataka,Paid Social,Facebook,KA_LG_23052023,419005,1548.0,0.0,117.0,117.0,0.0,0.0,26108.420000000002,1200.0
2023-05-01,Karnataka,Paid Social,Facebook,KA_LG_30052023,95375,445.0,0.0,14.0,14.0,0.0,0.0,4251.98,1200.0
2023-05-01,Maharashtra,Demand Gen campaigns,Google,MH_Discovery_20042023,405119,2138.0,0.0,55.0,55.0,0.0,0.0,15805.529999999999,500.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_11042023,1560182,4817.0,0.0,365.0,365.0,0.0,0.0,122335.08,1800.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_19052023,900996,5590.0,0.0,252.0,252.0,0.0,0.0,85221.19,1200.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_21022023,58770,115.0,0.0,9.0,9.0,0.0,0.0,5208.469999999999,2400.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_24052023,1106484,3691.0,0.0,261.0,261.0,0.0,0.0,74791.97,1200.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_29052023,209810,600.0,0.0,77.0,77.0,0.0,0.0,11553.5,1200.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_FormTestHindi_19042023,134463,738.0,0.0,27.0,27.0,0.0,0.0,9800.53,600.0
2023-05-01,Maharashtra,Paid Social,Facebook,MH_LG_FormTestMarathi_19042023,104838,355.0,0.0,26.0,26.0,0.0,0.0,9599.990000000002,600.0
2023-05-01,Tamil Nadu,Demand Gen campaigns,Google,TN_Discovery_17-02-2023,2770917,20522.0,0.0,172.0,172.0,0.0,0.0,30426.42,250.0
2023-05-01,Tamil Nadu,Paid Social,Facebook,TN_LG_30012023,1448954,5967.0,0.0,416.0,416.0,0.0,0.0,105508.23,1800.0
2023-06-01,All Markets,Demand Gen campaigns,Google,AM_LG_Discovery_28042023,2804421,20112.0,0.0,206.0,206.0,0.0,0.0,48411.64,250.0
2023-06-01,All Markets,Paid Social,Facebook,AM_LG_01062023,66894,509.0,0.0,16.0,16.0,0.0,0.0,4255.9,1200.0
2023-06-01,All Markets,Paid Social,Facebook,AM_LG_02052023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-06-01,All Markets,Paid Social,Facebook,AM_LG_25052023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-06-01,All Markets,Search,Google,AM_BrandSearch_15112023,71836,4411.0,0.0,320.12,320.12,0.0,0.0,66545.42,1500.0
2023-06-01,All Markets,Search,Google,AM_GenericSearch_28062023,250,17.0,0.0,1.0,1.0,0.0,0.0,343.82,250.0
2023-06-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_04062023,440927,1872.0,0.0,137.0,137.0,0.0,0.0,28915.760000000002,1800.0
2023-06-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_23052023,92675,591.0,0.0,39.0,39.0,0.0,0.0,5215.31,800.0
2023-06-01,Delhi,Paid Social,Facebook,DL_LG_03052023,639788,2348.0,0.0,331.0,331.0,0.0,0.0,46646.75,3600.0
2023-06-01,Delhi,Paid Social,Facebook,DL_LG_06062023,499599,1905.0,0.0,282.0,282.0,0.0,0.0,46263.86,2400.0
2023-06-01,Delhi,Paid Social,Facebook,DL_LG_19062023,31437,186.0,0.0,29.0,29.0,0.0,0.0,2736.69,1600.0
2023-06-01,Gujarat,Paid Social,Facebook,GJ_LG_06062023,49706,190.0,0.0,22.0,22.0,0.0,0.0,3678.88,2400.0
2023-06-01,Gujarat,Paid Social,Facebook,GJ_LG_15062023,275444,1079.0,0.0,112.0,112.0,0.0,0.0,25371.79,3200.0
2023-06-01,Gujarat,Paid Social,Facebook,GJ_LG_24052023,5346006,22385.0,0.0,1667.0,1667.0,0.0,0.0,211074.1,2400.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_06062023,145642,450.0,0.0,26.0,26.0,0.0,0.0,10386.01,2400.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_16062023,1609744,8909.0,0.0,399.0,399.0,0.0,0.0,110280.21,1800.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_22062023,301545,2459.0,0.0,78.0,78.0,0.0,0.0,24200.65,800.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_23052023,128345,602.0,0.0,45.0,45.0,0.0,0.0,9729.04,800.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_26062023,177409,951.0,0.0,50.0,50.0,0.0,0.0,23316.19,1800.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_28062023,92519,750.0,0.0,28.0,28.0,0.0,0.0,8370.26,2400.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_30052023,1379008,5789.0,0.0,276.0,276.0,0.0,0.0,82525.26999999999,1200.0
2023-06-01,Karnataka,Paid Social,Facebook,KA_LG_CreativeTest_30062023,3829,48.0,0.0,0.0,0.0,0.0,0.0,504.27,800.0
2023-06-01,Maharashtra,Demand Gen campaigns,Google,MH_Discovery_20042023,411996,1338.0,0.0,62.0,62.0,0.0,0.0,20862.36,250.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_07062023,388055,1244.0,0.0,78.0,78.0,0.0,0.0,30054.190000000002,2400.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_11062023,2598164,6082.0,0.0,584.0,584.0,0.0,0.0,132355.08,2400.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_13062023,78050,334.0,0.0,3.0,3.0,0.0,0.0,6475.5,3200.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_15062023,1039645,5289.0,0.0,300.0,300.0,0.0,0.0,86469.22,3200.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_19052023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_24052023,854582,3435.0,0.0,180.0,180.0,0.0,0.0,46317.26,1200.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_24062023,96326,383.0,0.0,27.0,27.0,0.0,0.0,10663.6,1800.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_26062023,171831,2295.0,0.0,69.0,69.0,0.0,0.0,15652.86,1600.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_29052023,4684450,14987.0,0.0,1009.0,1009.0,0.0,0.0,267439.83,1200.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_Creative Test_04062023,178071,531.0,0.0,64.0,64.0,0.0,0.0,16772.870000000003,600.0
2023-06-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_10062023,296338,734.0,0.0,57.0,57.0,0.0,0.0,23358.26,600.0
2023-06-01,Tamil Nadu,Demand Gen campaigns,Google,TN_Discovery_17-02-2023,413930,3403.0,0.0,40.0,40.0,0.0,0.0,6009.43,250.0
2023-06-01,Tamil Nadu,Paid Social,Facebook,TN_LG_01062023,2442657,11134.0,0.0,748.0,748.0,0.0,0.0,151124.03,2400.0
2023-06-01,Telangana,Paid Social,Facebook,TL_LG_06062023,388753,1556.0,0.0,119.0,119.0,0.0,0.0,29268.050000000003,2000.0
2023-07-01,All Markets,Demand Gen campaigns,Google,AM_LG_Discovery_28042023,4183375,31942.0,0.0,280.0,280.0,0.0,0.0,72599.19,250.0
2023-07-01,All Markets,Search,Google,AM_BrandSearch_15112023,269790,6551.0,0.0,306.99,306.99,0.0,0.0,63061.14,1500.0
2023-07-01,All Markets,Search,Google,AM_GenericSearch_28062023,196705,3462.0,0.0,158.0,158.0,0.0,0.0,45899.06,250.0
2023-07-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_21072023,77673,444.0,0.0,62.0,62.0,0.0,0.0,7053.55,1200.0
2023-07-01,Delhi,Paid Social,Facebook,DL_LG_19062023,796222,3692.0,0.0,424.0,424.0,0.0,0.0,60829.22,1600.0
2023-07-01,Delhi,Paid Social,Facebook,DL_LG_25072023,162714,546.0,0.0,75.0,75.0,0.0,0.0,11304.63,2400.0
2023-07-01,Gujarat,Paid Social,Facebook,GJ_LG_03072023,3018369,13703.0,0.0,785.0,785.0,0.0,0.0,136628.26,2000.0
2023-07-01,Gujarat,Paid Social,Facebook,GJ_LG_24052023,509021,2252.0,0.0,131.0,131.0,0.0,0.0,17100.510000000002,1800.0
2023-07-01,Gujarat,Paid Social,Facebook,GJ_LG_25072023,337659,1435.0,0.0,194.0,194.0,0.0,0.0,15095.97,1200.0
2023-07-01,Karnataka,Demand Gen campaigns,Google,KA_Discovery_03072023,3328317,31080.0,0.0,110.0,110.0,0.0,0.0,47149.15,500.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_03072023,2518026,13837.0,0.0,753.0,753.0,0.0,0.0,172894.26,1200.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_16062023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_21072023,508675,1776.0,0.0,84.0,84.0,0.0,0.0,22289.89,1800.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_26062023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_28062023,1415014,8691.0,0.0,630.0,630.0,0.0,0.0,99997.86,2600.0
2023-07-01,Karnataka,Paid Social,Facebook,KA_LG_CreativeTest_30062023,485871,2244.0,0.0,206.0,206.0,0.0,0.0,36770.92,800.0
2023-07-01,Maharashtra,Demand Gen campaigns,Google,MH_Discovery_20042023,693680,1468.0,0.0,46.0,46.0,0.0,0.0,20510.46,250.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_01072023,998372,8942.0,0.0,434.0,434.0,0.0,0.0,129496.5,1600.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_10072023,1915881,10290.0,0.0,1027.0,1027.0,0.0,0.0,116537.95,3600.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_11042023,524921,1944.0,0.0,149.0,149.0,0.0,0.0,45805.990000000005,1000.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_14072023,239977,1268.0,0.0,124.0,124.0,0.0,0.0,11736.66,800.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_19072023,1321334,6823.0,0.0,366.0,366.0,0.0,0.0,107632.14000000001,400.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_21072023,137631,534.0,0.0,44.0,44.0,0.0,0.0,10608.36,600.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_24062023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_26062023,122068,2108.0,0.0,38.0,38.0,0.0,0.0,10372.210000000001,1600.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_AudienceTest_01072023,166224,1162.0,0.0,38.0,38.0,0.0,0.0,14924.01,2400.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_AudienceTest_14072023,324743,1948.0,0.0,184.0,184.0,0.0,0.0,23709.41,2400.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_06072023,553123,4859.0,0.0,374.0,374.0,0.0,0.0,39858.79,800.0
2023-07-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_19072023,76269,396.0,0.0,7.0,7.0,0.0,0.0,7693.59,600.0
2023-07-01,Tamil Nadu,Demand Gen campaigns,Google,TN_Discovery_17-02-2023,1300347,12613.0,0.0,100.0,100.0,0.0,0.0,15201.26,250.0
2023-07-01,Tamil Nadu,Paid Social,Facebook,TN_LG_01062023,2196492,10151.0,0.0,656.0,656.0,0.0,0.0,128328.67,2000.0
2023-07-01,Telangana,Paid Social,Facebook,TL_LG_06062023,245429,976.0,0.0,91.0,91.0,0.0,0.0,24928.21,2000.0
2023-07-01,Telangana,Paid Social,Facebook,TL_LG_11072023,391257,3089.0,0.0,390.0,390.0,0.0,0.0,19969.76,1800.0
2023-07-01,Telangana,Paid Social,Facebook,TL_LG_21072023,91705,269.0,0.0,28.0,28.0,0.0,0.0,7112.21,1800.0
2023-08-01,All Markets,Demand Gen campaigns,Google,AM_LG_Discovery_28042023,8432005,65378.0,0.0,390.02,390.02,0.0,0.0,104190.22,500.0
2023-08-01,All Markets,Paid Social,Facebook,AM_BA_12082023,1101349,16369.0,0.0,0.0,0.0,0.0,0.0,54780.82,600.0
2023-08-01,All Markets,Paid Social,Facebook,AM_BA_28082023,664211,9372.0,0.0,0.0,0.0,0.0,0.0,30000.0,200.0
2023-08-01,All Markets,Paid Social,Facebook,AM_BA_SVA_14082023,1551073,11224.0,0.0,0.0,0.0,0.0,0.0,23070.11,4800.0
2023-08-01,All Markets,Search,Google,AM_BrandSearch_15112023,294984,7701.0,0.0,398.23,398.23,0.0,0.0,81354.1,1500.0
2023-08-01,All Markets,Search,Google,AM_GenericSearch_28062023,422174,6224.0,0.0,255.2,255.2,0.0,0.0,63199.43,250.0
2023-08-01,All Markets,Video,Google,AM_BA_10sec_14082023,249588,2144.0,0.0,0.0,0.0,0.0,0.0,3825.57,250.0
2023-08-01,All Markets,Video,Google,AM_BA_12082023,1980805,11842.0,0.0,0.0,0.0,0.0,0.0,49874.68,500.0
2023-08-01,All Markets,Video,Google,AM_BA_16082023,4950932,23503.0,0.0,0.0,0.0,0.0,0.0,113907.34,250.0
2023-08-01,All Markets,Video,Google,AM_BA_20sec_14082023,218188,2208.0,0.0,0.0,0.0,0.0,0.0,3745.43,250.0
2023-08-01,All Markets,Video,Google,AM_BA_30sec_14082023,162785,1787.0,0.0,0.0,0.0,0.0,0.0,3748.66,250.0
2023-08-01,All Markets,Video,Google,AM_BA_60sec_14082023,158262,2201.0,0.0,0.0,0.0,0.0,0.0,4404.18,250.0
2023-08-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_04052023,262116,914.0,0.0,111.0,111.0,0.0,0.0,15934.900000000001,1800.0
2023-08-01,Andhra Pradesh,Paid Social,Facebook,AP_LG_21072023,232529,863.0,0.0,78.0,78.0,0.0,0.0,19761.26,1200.0
2023-08-01,Delhi,Paid Social,Facebook,DL_BA_18082023,1565368,23827.0,0.0,0.0,0.0,0.0,0.0,90000.0,800.0
2023-08-01,Delhi,Paid Social,Facebook,DL_LG_03052023,162905,684.0,0.0,61.0,61.0,0.0,0.0,15560.52,3600.0
2023-08-01,Delhi,Paid Social,Facebook,DL_LG_04082023,1137069,4429.0,0.0,514.0,514.0,0.0,0.0,82391.27,1200.0
2023-08-01,Delhi,Paid Social,Facebook,DL_LG_06062023,144293,458.0,0.0,54.0,54.0,0.0,0.0,9407.0,2200.0
2023-08-01,Delhi,Paid Social,Facebook,DL_LG_19062023,631801,2237.0,0.0,169.0,169.0,0.0,0.0,37831.18,1600.0
2023-08-01,Delhi,Paid Social,Facebook,DL_LG_25072023,41917,106.0,0.0,11.0,11.0,0.0,0.0,3215.38,2400.0
2023-08-01,Delhi,Video,Google,DL_BA_18082023,2079843,23812.0,0.0,0.0,0.0,0.0,0.0,59999.0,750.0
2023-08-01,Gujarat,Paid Social,Facebook,GJ_BA_18082023,1816251,25538.0,0.0,0.0,0.0,0.0,0.0,90000.0,800.0
2023-08-01,Gujarat,Paid Social,Facebook,GJ_LG_05082023,242639,1420.0,0.0,65.0,65.0,0.0,0.0,17670.16,2400.0
2023-08-01,Gujarat,Paid Social,Facebook,GJ_LG_11082023,2926767,10131.0,0.0,739.0,739.0,0.0,0.0,97007.38,1600.0
2023-08-01,Gujarat,Paid Social,Facebook,GJ_LG_24052023,538908,2449.0,0.0,121.0,121.0,0.0,0.0,20637.72,1800.0
2023-08-01,Gujarat,Paid Social,Facebook,GJ_LG_25072023,1041427,4033.0,0.0,324.0,324.0,0.0,0.0,60039.3,1200.0
2023-08-01,Gujarat,Video,Google,GJ_BA_18082023,2219368,32904.0,0.0,0.0,0.0,0.0,0.0,59999.64,750.0
2023-08-01,Karnataka,Demand Gen campaigns,Google,KA_Discovery_03072023,3610233,30823.0,0.0,175.16,175.16,0.0,0.0,61066.95,750.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_BA_18082023,1846729,28225.0,0.0,0.0,0.0,0.0,0.0,90000.0,800.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_03072023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_05082023,1488358,6456.0,0.0,298.0,298.0,0.0,0.0,88543.22,2400.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_21072023,206304,865.0,0.0,30.0,30.0,0.0,0.0,11455.179999999998,1800.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_21082023,58814,310.0,0.0,5.0,5.0,0.0,0.0,2627.55,600.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_23052023,216771,957.0,0.0,31.0,31.0,0.0,0.0,15381.98,800.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_24082023,441471,3020.0,0.0,183.0,183.0,0.0,0.0,21660.8,800.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_30052023,1184342,5932.0,0.0,290.0,290.0,0.0,0.0,81498.67,1200.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG_31072023,8647,42.0,0.0,0.0,0.0,0.0,0.0,475.81,400.0
2023-08-01,Karnataka,Paid Social,Facebook,KA_LG__AudienceTest_18082023,150731,600.0,0.0,25.0,25.0,0.0,0.0,10847.79,1800.0
2023-08-01,Karnataka,Video,Google,KA_BA_18082023,1978494,31117.0,0.0,0.0,0.0,0.0,0.0,60000.22,750.0
2023-08-01,Maharashtra,Demand Gen campaigns,Google,MH_Discovery_20042023,3822418,21434.0,0.0,146.53,146.53,0.0,0.0,84052.71,500.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_BA_18082023,1922763,28282.0,0.0,0.0,0.0,0.0,0.0,90000.0,600.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_BA_23082023,112441,1329.0,0.0,0.0,0.0,0.0,0.0,5000.0,200.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_03082023,1178067,7890.0,0.0,414.0,414.0,0.0,0.0,74761.13,1800.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_07082023,284285,935.0,0.0,76.0,76.0,0.0,0.0,13480.380000000001,600.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_09082023,507794,2012.0,0.0,92.0,92.0,0.0,0.0,32839.34,1800.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_11062023,2403711,4343.0,0.0,325.0,325.0,0.0,0.0,82320.8,800.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_17082023,1118547,5259.0,0.0,234.0,234.0,0.0,0.0,65618.41,2400.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_19072023,3912286,14197.0,0.0,610.0,610.0,0.0,0.0,244293.78999999998,400.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_29052023,638108,1797.0,0.0,134.0,134.0,0.0,0.0,26103.93,1200.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_04082023,42470,171.0,0.0,8.0,8.0,0.0,0.0,3484.2200000000003,1200.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_05082023,96402,512.0,0.0,11.0,11.0,0.0,0.0,9644.72,1200.0
2023-08-01,Maharashtra,Paid Social,Facebook,MH_LG__AudienceTest_24082023,143402,441.0,0.0,57.0,57.0,0.0,0.0,8424.89,1600.0
2023-08-01,Maharashtra,Video,Google,MH_BA_18082023,2137245,34006.0,0.0,0.0,0.0,0.0,0.0,59999.36,750.0
2023-08-01,Maharashtra,Video,Google,MH_BA_23082023,154803,2381.0,0.0,0.0,0.0,0.0,0.0,4998.94,250.0
2023-08-01,Tamil Nadu,Demand Gen campaigns,Google,TN_Discovery_17-02-2023,3077900,22981.0,0.0,161.06,161.06,0.0,0.0,26040.15,250.0
2023-08-01,Tamil Nadu,Paid Social,Facebook,TN_BA_18082023,1662788,24464.0,0.0,0.0,0.0,0.0,0.0,90000.0,800.0
2023-08-01,Tamil Nadu,Paid Social,Facebook,TN_LG_01062023,792845,2962.0,0.0,172.0,172.0,0.0,0.0,38134.1,2000.0
2023-08-01,Tamil Nadu,Paid Social,Facebook,TN_LG_09082023,1832159,6051.0,0.0,409.0,409.0,0.0,0.0,75717.95,1800.0
2023-08-01,Tamil Nadu,Video,Google,TN_BA_18082023,1874723,33426.0,0.0,0.0,0.0,0.0,0.0,59995.77,500.0
2023-08-01,Telangana,Paid Social,Facebook,TL_BA_18082023,1520612,23547.0,0.0,0.0,0.0,0.0,0.0,89999.93000000001,800.0
2023-08-01,Telangana,Paid Social,Facebook,TL_LG_02082023,100126,426.0,0.0,38.0,38.0,0.0,0.0,9460.880000000001,1800.0
2023-08-01,Telangana,Paid Social,Facebook,TL_LG_06062023,10753,37.0,0.0,3.0,3.0,0.0,0.0,1080.84,2000.0
